mssv,dtb_toankhoa,dtb_tichluy,sotc_tichluy
99908FD0XPvAibaEXe9+3TdUbRXdLT41JTu5yxw3,8.26,8.26,140
360C98C8XPvAibaEXe9+3TdUbRXdLTQ5qbG5iCKa,8.8,8.8,137
F98B5B14XPvAibaEXe9+3TdUbRXdLeKIcSwrVH9U,5.41,6.43,133
8B073054XPvAibaEXe9+3TdUbRXdLeTGAoi6tgF0,3.16,6.5,2
C11AFB68XPvAibaEXe9+3TdUbRXdLT38bTEBLKGf,7.13,7.22,131
A0C04B40XPvAibaEXe9+3TdUbRXdLWWbX9fgnXNM,6.45,6.59,134
A8B0141DXPvAibaEXe9+3TdUbRXdLdw8cDgngIjx,0,0,0
D83EFD4FXPvAibaEXe9+3TdUbRXdLYgbcoIsFK3z,7.12,7.32,148
911B7CCDXPvAibaEXe9Fy2hCq9OiA30aWZ5dDKZp,7.09,7.17,130
B79F3CF5XPvAibaEXe9Fy2hCq9OiA+tnm2XlCfJy,6.06,6.56,108
53BB8D1AXPvAibaEXe9Fy2hCq9OiA55gkkbklho/,7.71,7.71,134
2882595BXPvAibaEXe9Fy2hCq9OiAx0s+TMBlscg,6.97,6.97,142
F9AB3110XPvAibaEXe9Fy2hCq9OiA5v/Y7zbJ0xU,4.2,6.43,45
718BB49AXPvAibaEXe9Fy2hCq9OiA3oLDVf7QfWj,7.21,7.21,157
FC4313DBXPvAibaEXe9Fy2hCq9OiA4Vxa7j+wTBT,7.22,7.22,150
A5AE07D7XPvAibaEXe+fW1Bg/roenGYUAYxI/RSm,3.34,5.92,29
1EBB5CD4XPvAibaEXe9FRFgWLD9noXKkpUtIomTp,5.33,6.75,82
F20A8094XPvAibaEXe9FRFgWLD9noTNP+BadXReP,4.98,6.01,101
6EBC70D7XPvAibaEXe9FRFgWLD9noXZbyFyA6Y58,8.72,8.72,147
187596BFXPvAibaEXe9FRFgWLD9noWVY+4KqBipB,6.91,6.91,140
EE2F83F4XPvAibaEXe8XU1E8XgQL2A7dywO0E1Ee,3.12,6.19,40
3E8A2EDBXPvAibaEXe9Fy2hCq9OiA+RWQVJ8fut3,6.77,7.12,139
49CAEA2EXPvAibaEXe9Fy2hCq9OiA2TWWInpEgrD,6.69,6.79,141
2D7C801CXPvAibaEXe9Fy2hCq9OiA3HbIsr+o7Wq,6.73,6.92,140
EFD1CDDCXPvAibaEXe+9tOqtJ+TlMia3dZtAJFg/,7.72,7.72,137
5A7D2BC9XPvAibaEXe+9tOqtJ+TlMiGBoUNlLMig,7.54,7.54,153
C38ADA96XPvAibaEXe+9tOqtJ+TlMmhuHNTB5COK,7.59,7.59,139
15B88849XPvAibaEXe+9tOqtJ+TlMgs05RMBFJt2,3.85,7.55,31
2D462CD4XPvAibaEXe+9tOqtJ+TlMsuNcrhhMXK5,7.16,7.22,155
591A383BXPvAibaEXe+9tOqtJ+TlMlOgd3FjH1ew,6.56,6.64,127
1001C6B2XPvAibaEXe8Ve9qXGkppSGCJVw9aoj99,7.59,7.59,132
B5F94969XPvAibaEXe8Ve9qXGkppSAQLJGMPIMto,6.04,6.46,149
C764A6CEXPvAibaEXe+9tOqtJ+TlMmG278zpkKP6,7.3,7.3,149
3EBBF85DXPvAibaEXe+9tOqtJ+TlMoD4ns4BY00x,5.67,6.38,142
BFCE735BXPvAibaEXe+9tOqtJ+TlMva41++QbHr/,7.3,7.46,146
A3792E8DXPvAibaEXe8Ve9qXGkppSE6sDsO4ylnG,7.15,7.15,154
AA1CA6F8XPvAibaEXe8Ve9qXGkppSL3r9uKrQh1P,7.45,7.45,149
43B82139XPvAibaEXe8Ve9qXGkppSMA58H1QyES1,7.43,7.43,139
F45F8D30XPvAibaEXe8Ve9qXGkppSFDiV6wXV1o1,1.07,0,0
5627743BXPvAibaEXe8Ve9qXGkppSH8e5lf6LRDk,7.31,7.31,137
550FF48EXPvAibaEXe8Ve9qXGkppSHjhaNu3KMws,7.4,7.4,139
952BA9BFXPvAibaEXe8Ve9qXGkppSJwsQr0Ibz69,7.93,7.93,151
E0A9B5FBXPvAibaEXe/67dyjFFUOJlqqLj2dGUK4,7.42,7.42,140
5DC53044XPvAibaEXe/67dyjFFUOJsIh36vN25SR,7.47,7.47,149
62E459E7XPvAibaEXe/67dyjFFUOJgXmAt8JMvdO,7.52,7.52,136
5DCEDAFAXPvAibaEXe/67dyjFFUOJk28kcNWZcqE,7.87,7.87,132
EA8D044DXPvAibaEXe/67dyjFFUOJqjKETmoSjS5,7.01,7.01,138
BF91AB54XPvAibaEXe8Ve9qXGkppSK3VkUe67fwg,5.5,6.12,102
0339FEA3XPvAibaEXe/67dyjFFUOJsO0SSal/unw,6.62,6.83,150
0A8C6948XPvAibaEXe/67dyjFFUOJlj54iDr28M5,7.18,7.21,133
0FB8124AXPvAibaEXe/67dyjFFUOJjjVs2DOezdY,0,0,0
DDD0FDB5XPvAibaEXe/67dyjFFUOJhL5JctuTHbL,7.21,7.21,141
16C30CEEXPvAibaEXe8JFpQse3KV6uVIaQvDb/Gu,0.43,0,0
B43FDAD6XPvAibaEXe8JFpQse3KV6k3ttGeCXYYH,5.5,6.64,103
4C6F17CBXPvAibaEXe8JFpQse3KV6oEjOpWfiA71,6.71,6.79,129
D00D1A1FXPvAibaEXe8JFpQse3KV6uIgaIRiOZlg,6.12,6.83,122
B265C5E0XPvAibaEXe8JFpQse3KV6kK1BtBz+LKq,7.11,7.21,144
19974296XPvAibaEXe8JFpQse3KV6gth2jrDfeL4,8.04,8.04,133
5288A079XPvAibaEXe8JFpQse3KV6i0O+SsL3BWw,6.71,6.85,156
DF482DAEXPvAibaEXe8JFpQse3KV6npXWq9nEhvz,3.4,5.85,25
5180A039XPvAibaEXe8JFpQse3KV6uIxvJ5n0/iZ,2.64,6.37,16
69CC9D77XPvAibaEXe/A0C8NKWg+cCtO4VRi7hM3,7.57,7.57,130
3CB24C2AXPvAibaEXe/A0C8NKWg+cH2j4AGcP4lH,6.23,7.09,130
547D7412XPvAibaEXe/A0C8NKWg+cCwX1LYBm9Ez,6.81,7.28,145
DF754E2FXPvAibaEXe/A0C8NKWg+cPuiUrOjU9Ab,6.7,6.75,136
5504D8B2XPvAibaEXe/A0C8NKWg+cGvKTGLsZ7Kv,7.45,7.45,136
1DD40F83XPvAibaEXe/A0C8NKWg+cNjNfs5fFfXk,6.87,7.02,142
B4C9C933XPvAibaEXe/A0C8NKWg+cEic0A5aXSTx,6.96,7.3,139
4746C69EXPvAibaEXe/A0C8NKWg+cNxMMOaSmLOf,6.43,6.7,136
354681C1XPvAibaEXe/A0C8NKWg+cJVKjuqX8g7B,8.24,8.24,138
4CFCCFBCXPvAibaEXe/A0C8NKWg+cGrjdpc6qVNr,6.27,6.83,121
40E3DED7XPvAibaEXe8cSwcDAK/pUDQbys/Ydwoj,8.3,8.3,147
360BCE8AXPvAibaEXe8cSwcDAK/pUB9mWTBMkxtD,6.42,6.67,128
3577D0A6XPvAibaEXe8cSwcDAK/pUHjiAbCwBK7P,7.96,7.96,142
F74272E5XPvAibaEXe8cSwcDAK/pUAoD5XBV3YHF,6.99,6.99,155
B64EFF4FXPvAibaEXe8cSwcDAK/pUJFGGHVhvfd9,7.22,7.22,131
ED4944DBXPvAibaEXe8cSwcDAK/pUOtZsbptuRcq,4.79,7.02,41
0499BD34XPvAibaEXe8cSwcDAK/pUFr2X7+QevI0,7.75,7.75,149
3E0304C3XPvAibaEXe8cSwcDAK/pUDqvhen9Qukd,6.35,7.45,17
2E197B0CXPvAibaEXe8cSwcDAK/pUCSeCgTsw7y9,6.41,7.19,129
4EA4F240XPvAibaEXe/t4WKrTmA45c7uHCaeKVzm,7.56,7.73,136
2B0E955FXPvAibaEXe/t4WKrTmA45W8ys/ibnqqG,6.89,7.03,129
A0FA65B5XPvAibaEXe/t4WKrTmA45TCT5yiApOsI,7.58,7.75,131
19D84BF6XPvAibaEXe/t4WKrTmA45X2kNqzY58cb,6.77,6.86,148
6A078F7FXPvAibaEXe/t4WKrTmA45dNbeTYZ+KBc,6.77,6.77,138
C4F69298XPvAibaEXe/t4WKrTmA45Rqptc4R3kvU,7.13,7.13,152
4C3323BAXPvAibaEXe/t4WKrTmA45Y0AGCVKJMA+,0.64,0,0
C135310BXPvAibaEXe/t4WKrTmA45VAWQP3+WBPF,7.81,7.81,137
CF111718XPvAibaEXe/t4WKrTmA45Y38/eR4Lxkz,5.82,7.85,21
521467A8XPvAibaEXe/t4WKrTmA45f0ZSMEJmxHz,7.93,7.93,138
8C5D825AXPvAibaEXe/KVW+JfXJB/tvWcmdxGSA9,7.73,7.83,142
F13E1BA9XPvAibaEXe91kmICrkek2o/snRaC+Cll,8.35,8.35,150
E85A8096XPvAibaEXe91kmICrkek2p33YM4EBM4q,7.29,7.29,143
31F0B8C9XPvAibaEXe91kmICrkek2m3ZgFKALQoG,3.12,6.15,15
E544BE8BXPvAibaEXe91kmICrkek2ks2xIM8jFDv,5.18,7.05,97
3E7C48C6XPvAibaEXe91kmICrkek2vGASu4f5Vr/,7.27,7.27,146
63F4D5EEXPvAibaEXe91kmICrkek2njA/inamJ2e,6.66,7.18,142
CA64881CXPvAibaEXe91kmICrkek2nCnuij6IyOE,7.45,7.45,144
CBDE1398XPvAibaEXe/KVW+JfXJB/kBCeexAdrWt,6.81,6.81,145
FB9C748BXPvAibaEXe91kmICrkek2oitGsq+vGRw,8.37,8.37,145
F31E7BEFXPvAibaEXe/KVW+JfXJB/icHwabmmIyv,6.18,6.18,131
DC609E13XPvAibaEXe/KVW+JfXJB/sRYQhGj0Cfx,8.19,8.19,139
4803EB31XPvAibaEXe/KVW+JfXJB/sDMHJUeDdAC,6.81,6.88,142
8535E154XPvAibaEXe/KVW+JfXJB/gU0bKRUGdEa,7.36,7.36,138
5BCEBE52XPvAibaEXe/KVW+JfXJB/rcKdFLuaO+V,7.61,7.61,131
6B9F848FXPvAibaEXe/KVW+JfXJB/kB041vqWQww,1.72,0,0
74FB1661XPvAibaEXe/KVW+JfXJB/gIQRRB2yGEl,8.32,8.32,135
B38858AAXPvAibaEXe+3bWVxnzRRwMzaMWgf6I3a,7.13,7.13,139
E5FC3F46XPvAibaEXe+3bWVxnzRRwF/aBk9LeAFZ,7.61,7.61,151
E113C2D7XPvAibaEXe+3bWVxnzRRwKoyPCnthIWj,5.42,6.27,122
D927C6BDXPvAibaEXe+3bWVxnzRRwODgnpt4X5dt,7.18,7.27,138
E3077DF0XPvAibaEXe+3bWVxnzRRwMAd+5PPvWNZ,7.81,8.22,132
94BE2CBFXPvAibaEXe+3bWVxnzRRwADoBx0JK62+,5.6,6.48,123
06D413B1XPvAibaEXe+3bWVxnzRRwNg6g5IkrIob,7.47,7.47,143
F41DD86AXPvAibaEXe+3bWVxnzRRwPoFPvmQ6HDC,4.1,6.1,44
49B81E8DXPvAibaEXe+3bWVxnzRRwLjpUzvComxK,6.81,6.89,132
F0B44DA1XPvAibaEXe/5DpC15pEkHU0KE9U7ewL7,0.79,0,4
798320BBXPvAibaEXe/5DpC15pEkHcCzAQREY9Yw,8.34,8.34,143
D219DCF4XPvAibaEXe/5DpC15pEkHdeH8PWtqIrl,8.95,8.95,135
74DD18B4XPvAibaEXe/5DpC15pEkHeOUjnrPBZ9L,7.16,7.16,134
A0434F8CXPvAibaEXe/5DpC15pEkHVXkLwQx5xPV,7.03,7.03,135
BED27437XPvAibaEXe/5DpC15pEkHUJeBNAg/GzV,7.06,7.16,140
A19AAA06XPvAibaEXe/5DpC15pEkHeGIviyCNjEf,6.54,6.76,142
737CACE5XPvAibaEXe8kGcWiFCcO6VDhqxPqj+pt,6.94,7,142
CBD3DA4AXPvAibaEXe/5DpC15pEkHeU94/iQwdB7,6.92,7.03,130
512A4A72XPvAibaEXe/5DpC15pEkHRxUI1NlbvJO,6.96,7.18,136
B5B9BDD3XPvAibaEXe8kGcWiFCcO6QC9wPvG2Vze,7.63,7.63,136
A32C3933XPvAibaEXe/5DpC15pEkHfkVgqjVq1jx,6.89,6.89,135
D7243CEBXPvAibaEXe8kGcWiFCcO6XTZMUMoSVW9,6.57,7.06,140
8A3C61C3XPvAibaEXe8kGcWiFCcO6cCaPR2fU+qE,7.68,7.81,141
D1E6E771XPvAibaEXe8kGcWiFCcO6R59sG8lyAuf,7.8,7.8,133
1ADFCC78XPvAibaEXe8kGcWiFCcO6cvsTtdtjc0z,6.96,7.06,148
026C80C5XPvAibaEXe8kGcWiFCcO6X+kqE6zW6qM,4.77,6.43,81
B076E306XPvAibaEXe8kGcWiFCcO6TaJPNqMpBZO,7.21,7.21,153
DA958B07XPvAibaEXe8kGcWiFCcO6YjADM1e3Gf6,7.27,7.27,131
E37BF33CXPvAibaEXe9Y6XKwco8jyUy8xdOxIJZW,1.94,0,0
2F5BD724XPvAibaEXe9Y6XKwco8jyXjo0C5N13+r,6.02,6.49,145
CD41215AXPvAibaEXe9Y6XKwco8jySH2ncUeG2Ze,6,6.6,119
75DF55F6XPvAibaEXe9Y6XKwco8jyWo4T8tmYG82,4.89,6.81,88
E3F10A8EXPvAibaEXe9Y6XKwco8jye7qm3Gd9doU,6.66,6.97,146
6A089A70XPvAibaEXe9Y6XKwco8jyUczq4xBb32o,7.38,7.47,150
D281A27EXPvAibaEXe9Y6XKwco8jybe1BRvd9haj,6.27,6.32,138
9C93288BXPvAibaEXe9Y6XKwco8jyUtklb5XaVU9,7.23,7.83,149
356671CFXPvAibaEXe9Y6XKwco8jydE+Qs28iZwD,7.68,7.68,131
CA8E34EEXPvAibaEXe9Y6XKwco8jybdDUnwQlE94,6.59,6.74,146
89D783AAXPvAibaEXe/3wuT/psvviWmivpbj6tp5,8.01,8.01,147
1CFFB92BXPvAibaEXe/3wuT/psvviazNX/qQ0WRM,7.34,7.34,136
65F484B6XPvAibaEXe/3wuT/psvviciTyE0+Jfq5,5.82,6.36,127
8DE058A5XPvAibaEXe/3wuT/psvviQxHCteLZzBq,7.17,7.17,136
3BD02554XPvAibaEXe/3wuT/psvviVIxKx3LsKu5,4.94,6.12,56
2EAEB066XPvAibaEXe/3wuT/psvviRzJIm6kEp73,7.67,7.67,136
8DD612F2XPvAibaEXe/3wuT/psvviRxXsPy37L06,8.04,8.04,143
98CFC349XPvAibaEXe/3wuT/psvvidM+3cBtY3+i,5.3,6.62,76
AFE5419DXPvAibaEXe+ItThaeWSaTsNM9vU7lE1g,7.76,7.76,140
063FA88DXPvAibaEXe+ItThaeWSaTndzLvy0hCWF,7.67,7.67,139
274FB275XPvAibaEXe+ItThaeWSaTjA1i5TggkW2,7.77,7.77,134
1E0BA31FXPvAibaEXe+ItThaeWSaThFU9Ihxnb8T,7.11,7.31,139
045380DDXPvAibaEXe+ItThaeWSaTjqzWjK/+ZK7,7.78,7.78,142
BFE9D48FXPvAibaEXe+ItThaeWSaTrt2+Vu0aqqP,0.33,0,0
6D3100A0XPvAibaEXe+ItThaeWSaTqU3766OnnEm,7.22,7.22,143
F6FA6330XPvAibaEXe+ItThaeWSaTvj+HY2vqD2T,8.89,8.89,145
99C336CFXPvAibaEXe+ItThaeWSaTo52ObCq6Olf,8.42,8.42,141
BC2ACBAEXPvAibaEXe+NqszRBbPDtwT58F1jqpzD,7.63,7.63,138
F57A1736XPvAibaEXe+ItThaeWSaTv8D7aWTVVQf,7.49,7.49,147
67B08E41XPvAibaEXe92uUBt7zfwrT4ApqjDuA+s,7.88,7.88,143
1482B2BEXPvAibaEXe+NqszRBbPDt4/vNAay2XsH,7.23,7.23,143
09CE92DEXPvAibaEXe92uUBt7zfwrZWZ1+Hb4Qhs,2.38,6.89,8
7407D08DXPvAibaEXe+NqszRBbPDt+s094RsYnJL,5.41,6.22,79
2D6E3B9AXPvAibaEXe+NqszRBbPDt/WsaQ0UkhD7,6.73,6.73,130
B18AAB4EXPvAibaEXe81r7KrCH0uc7g8hlQ6gOzO,7.24,7.24,143
5DE7205DXPvAibaEXe+NqszRBbPDt+fGwJyhS5HN,5.85,6.45,103
7BB10987XPvAibaEXe+NqszRBbPDt+dLyyaYOyag,8.02,8.63,132
5258E240XPvAibaEXe81r7KrCH0ucwU9T9oMIcsn,4.5,6.21,62
9EA5AD13XPvAibaEXe92uUBt7zfwrQgm4FsORSw0,7.43,7.43,143
F4FA2B15XPvAibaEXe+NqszRBbPDt9G3cqKocHsJ,8.49,8.49,143
B37A5C4FXPvAibaEXe92uUBt7zfwrYq2UKjzgtwQ,7.58,7.58,150
A23F32D0XPvAibaEXe+NqszRBbPDt0L1LCiqtCDU,5.22,6.41,21
BCB10D47XPvAibaEXe92uUBt7zfwrfm+6m0Wsyvl,2.05,6.26,8
CC1BE9F4XPvAibaEXe+NqszRBbPDty51v94rQVP2,5.98,6.59,78
256844D6XPvAibaEXe92uUBt7zfwrT/g0tSI3mpf,5.11,6.46,32
B3CA17D6XPvAibaEXe81r7KrCH0ucyLianm1B7C7,7.36,7.36,148
BEE21314XPvAibaEXe81r7KrCH0uczusmR9lDfYE,7.54,7.54,143
86053F82XPvAibaEXe81r7KrCH0uc8qhbnpGNt/A,3.67,5.74,21
03F0FDF5XPvAibaEXe81r7KrCH0uc/DWUtJIS0l8,5,6.18,45
9C91781BXPvAibaEXe8qh9FRNDK+MaMODbE9t/5h,7.17,7.23,137
F24ECB8DXPvAibaEXe8qh9FRNDK+MSP8dv3PW7SX,3.3,6.5,10
29DF8880XPvAibaEXe8qh9FRNDK+MdJj6YmUts3P,1.89,8.8,2
164FCE73XPvAibaEXe8qh9FRNDK+Mco5qzpzeyXe,1.71,6.9,4
A6169055XPvAibaEXe81r7KrCH0uc4QKxDeoWYb4,6.52,6.98,131
E6CC2B78XPvAibaEXe8qh9FRNDK+MRxBWkJKR49H,6.74,7.08,128
45E035D5XPvAibaEXe81r7KrCH0ucwTataqufjSX,7.21,7.51,134
004E12B9XPvAibaEXe81r7KrCH0uc0uxBtoBw4BG,3.27,6.1,24
BF7644D0XPvAibaEXe9TvOBYlD1INudm9JCY1WZy,8.36,8.36,149
A0B312FEXPvAibaEXe9tVd6vhP62hwHf3WOU6N8+,6.84,7.37,128
D1BD1CF3XPvAibaEXe9TvOBYlD1INpw/fOwRA5ES,8.57,8.57,132
295D810DXPvAibaEXe9w3p4OJXtSaO3ho0joVaGm,7.64,7.64,133
363C25EFXPvAibaEXe9i7Lm5hcsAn/ocI7rKCyS7,7.46,7.69,129
0103EBB9XPvAibaEXe+LOVcofflPOp4M1bu/q8RE,9.16,9.16,149
EC0E204BXPvAibaEXe92Umf5pb/ttm+OJa0U0aSz,8.25,8.25,137
A445ECF9XPvAibaEXe+Xbs+mKMRabbMHL+G5IjWQ,7.34,7.34,138
BB1053B1XPvAibaEXe87zPkGv/Pdbsur3Xj25dvi,7.77,8,144
903C6BBDXPvAibaEXe9puzAyruoCKVqw9bMN4OX4,8.47,8.47,139
11581EACXPvAibaEXe9p2uXWEeSl6iDxUIcLP8qa,8.01,8.01,131
E01E77A6XPvAibaEXe+F47DLdH7neSqbdOtoqh+8,8.03,8.03,133
4B9C91EEXPvAibaEXe/n5tUN5i+oISrPE8vmYFDh,9.28,9.28,131
9335D2DEXPvAibaEXe9U/AuCAN8zZ2/mO12qCzRs,8.44,8.44,129
004BA243XPvAibaEXe/YCV++RiavqMD2sFfZ4KOh,4.87,6.52,65
3CD1D0E9XPvAibaEXe92Umf5pb/tttzMixAKhFrF,8.3,8.3,141
455055AEXPvAibaEXe9U/AuCAN8zZ6JRyL3Sc8O9,8.63,8.63,144
EC10B227XPvAibaEXe9w3p4OJXtSaDRBcgh4NOxe,7.51,7.51,141
6C9F895BXPvAibaEXe+HzQxlRR1WqlTiMVpTfIwT,6.88,7.15,105
434FE0B5XPvAibaEXe/n5tUN5i+oIaaaONia817b,8.51,8.51,131
86FE43D4XPvAibaEXe87zPkGv/Pdbt3Q4ufmJASb,7.99,7.99,133
F2C0D01EXPvAibaEXe87zPkGv/PdblLnRljWKqTv,7.91,7.91,140
1C26DB5BXPvAibaEXe9puzAyruoCKen7yYzlAqUe,7.78,7.78,136
F3329B64XPvAibaEXe9p2uXWEeSl6ugoB3kGHO9C,7.24,7.24,138
627DDC03XPvAibaEXe9i7Lm5hcsAnwqPqEtCDfQc,7.29,7.46,130
F0DDE2E8XPvAibaEXe9tVd6vhP62h6WlGDFtlvFt,9.19,9.19,47
EBC8B8A3XPvAibaEXe9puzAyruoCKT2ugJpFJXJJ,8.49,8.49,131
1FB8F707XPvAibaEXe92Umf5pb/ttrUuITocnKot,7.95,8.32,149
8FE9610CXPvAibaEXe/n5tUN5i+oIeSHzF1HXYHV,8.5,8.5,132
76F623F0XPvAibaEXe+F47DLdH7neU1O2ZJUvrjQ,8.36,8.36,132
56BD6434XPvAibaEXe/a4DMmDlc8UEL9For+TSgJ,1.41,6.15,16
A74DBA04XPvAibaEXe+LOVcofflPOq3iOHPPSI9K,7.31,7.31,142
597966AFXPvAibaEXe+Xbs+mKMRabRzHYo2DoTJS,8.46,8.46,132
DDFCFEE0XPvAibaEXe9tVd6vhP62h1/MJMRnX5y0,7.6,7.6,145
E595362AXPvAibaEXe87zPkGv/Pdbq+CabdelSKb,9.22,9.22,133
AD93FC3EXPvAibaEXe9gPSUylTm3Een2CDukKkME,8.6,8.6,132
EDF309ECXPvAibaEXe/a4DMmDlc8UNJ4wQAHL8Ox,7.97,7.97,137
DA9E9F81XPvAibaEXe+Xbs+mKMRabaaBamOKgFJe,7.71,7.89,137
9F3A2199XPvAibaEXe9p2uXWEeSl6g+qT5CGgkj7,8.41,8.41,131
A98F5E60XPvAibaEXe+MmAntcCanjPq3CSgxyfJZ,8.57,8.57,141
3C2DDB97XPvAibaEXe+F47DLdH7neaLjLr8Pk2Os,8.7,8.7,135
CDDDCE8BXPvAibaEXe+LOVcofflPOioTO/v1hZpn,2.3,5.68,10
B63533ADXPvAibaEXe9U/AuCAN8zZwWnu+1ZOSWa,8.52,8.52,140
1308511EXPvAibaEXe87zPkGv/PdbpaE6yU8ahwD,3.39,7.07,23
BBE70379XPvAibaEXe9p2uXWEeSl6vOGKHyFx/jN,7.1,7.1,138
FC1DE214XPvAibaEXe9Notw1bhKSwn6Ga/2HYQoq,7.72,7.72,133
B65CE2C1XPvAibaEXe9Notw1bhKSwsVGF2evh4c9,8.67,8.67,140
FBBD4151XPvAibaEXe9TvOBYlD1INm1G8TkUYUun,8.66,8.66,141
771FBB4DXPvAibaEXe/a4DMmDlc8UC4GnGxUuOtw,7.66,7.66,134
C823CE1EXPvAibaEXe+HzQxlRR1WqgSUS8Sq0yXO,8.88,8.88,142
ED115863XPvAibaEXe9puzAyruoCKVqmP5JLKX2e,5.73,6.54,85
1C04C883XPvAibaEXe/a4DMmDlc8UPJiOuko0ktP,8.71,8.71,135
B34A7723XPvAibaEXe92Umf5pb/ttlJTXh8eJRJk,6.71,7.07,141
50CCA1F7XPvAibaEXe/a4DMmDlc8UGQKQqciphV/,8.89,8.89,129
F5C4F8EBXPvAibaEXe9gPSUylTm3ERLAXI5puk0I,7.23,7.26,155
254BC02AXPvAibaEXe9Notw1bhKSwvmb/dvpsFX1,7.13,7.13,133
0CD1AC6BXPvAibaEXe9tVd6vhP62h3/dWX/lnb8D,7.5,7.59,133
D6CBA8B9XPvAibaEXe9w3p4OJXtSaL9uuW+eShrr,6.99,6.99,130
399DDFEAXPvAibaEXe9U/AuCAN8zZ/ZscG9vZe50,9.29,9.29,148
42D88C82XPvAibaEXe+F47DLdH7neagHe7FbP3fV,7.9,7.9,132
BA44ED79XPvAibaEXe/YCV++RiavqMMeSK1nWETl,8.87,8.87,133
CA4507DEXPvAibaEXe9i7Lm5hcsAnzuibwt5a5Id,8.51,8.51,132
64E71961XPvAibaEXe9w3p4OJXtSaDM21QEwHvJa,7.56,7.56,135
58E092F7XPvAibaEXe/YCV++RiavqOx26rcljRjy,8.01,8.01,148
97C8C0FFXPvAibaEXe9tVd6vhP62h6ZH9lGhIrgu,7.68,7.68,143
E983FACAXPvAibaEXe9gPSUylTm3ERA0ZVDEgm1G,8.01,8.01,141
3E1131D1XPvAibaEXe+HzQxlRR1WqlCVRKuTCn0N,7.18,7.52,131
F803888BXPvAibaEXe9Notw1bhKSwrtyJF1fDmf1,8.59,8.59,136
B9EBC8FBXPvAibaEXe9i7Lm5hcsAnw/BWuFfj+yF,7.35,7.35,138
191751CDXPvAibaEXe+MmAntcCanjCt6F1Cp0eEC,8.58,8.58,138
48D4446FXPvAibaEXe9gPSUylTm3ET/fdrYxdjTz,7.71,7.71,133
E0C5ACB1XPvAibaEXe9TvOBYlD1INk4J53zB7/3s,7.54,7.54,134
2A130168XPvAibaEXe92Umf5pb/ttokcv74N9o3t,8.24,8.24,143
4C1BAEF5XPvAibaEXe+F47DLdH7nebSdcKe79o9+,7.12,7.16,134
D80B0ED4XPvAibaEXe9U/AuCAN8zZxI8PsSV1kbw,7.37,7.37,26
8F600222XPvAibaEXe+Xbs+mKMRabXIYU3IFhUBb,8.31,8.31,139
2817A649XPvAibaEXe9tVd6vhP62h/qBPlmt3VOS,7.94,7.94,132
2E094578XPvAibaEXe/a4DMmDlc8UB3GbbG4Q0zX,7.38,7.38,138
7070E160XPvAibaEXe/YCV++RiavqBk5/5ukZCsV,8.23,8.23,137
CDAE9C3BXPvAibaEXe9gPSUylTm3ESJ4xQeyyi3P,8.65,8.65,135
1A04F18CXPvAibaEXe9TvOBYlD1INpsgmJU+295y,6.63,7.22,102
32F1D5A6XPvAibaEXe9puzAyruoCKfbLKFeVYo2s,7.48,7.48,133
C00275E6XPvAibaEXe/YCV++RiavqOErFb3GW5CH,6.18,7.39,107
BE1A9ABEXPvAibaEXe92Umf5pb/ttjv+Q4aigMmx,6.65,7.01,122
13938ECDXPvAibaEXe+MmAntcCanjCp+h90ZbrNL,8.19,8.19,131
C3465EBFXPvAibaEXe/YCV++RiavqB8eq7xCW1uG,6.76,7.02,131
18525DEDXPvAibaEXe+HzQxlRR1WqmWJsb+9TIt/,8.28,8.28,131
EAA332FDXPvAibaEXe9p2uXWEeSl6ocKGetWDEPh,4.77,5.97,47
6BC6AB5CXPvAibaEXe+HzQxlRR1Wqkif9T6N0XEg,8.58,8.58,133
731DC506XPvAibaEXe92Umf5pb/ttljHVz+dLZqN,8.49,8.49,131
0862B608XPvAibaEXe9i7Lm5hcsAnxxUOt0fMFu4,8.06,8.06,145
A2352072XPvAibaEXe+Xbs+mKMRabT2j1xBeE7sX,8.24,8.24,141
E8A50C92XPvAibaEXe+MmAntcCanjFHytG9GDVOw,7.15,7.15,151
F2BE62BCXPvAibaEXe+LOVcofflPOkxkCIGQyioz,8.37,8.37,143
8A3A4958XPvAibaEXe9Notw1bhKSwuFyC7YI8KCM,8.13,8.13,133
3C1B8FD6XPvAibaEXe9tVd6vhP62hzaHhRsdB39M,7.78,7.78,136
E2F71669XPvAibaEXe9Notw1bhKSwkqhPVQ+vmh2,7.15,7.25,131
5CAC932AXPvAibaEXe9p2uXWEeSl6nZ4xyTHcwcH,8.16,8.16,142
98831704XPvAibaEXe/YCV++RiavqK4I8w80IlV7,8.38,8.38,149
AFB55145XPvAibaEXe8zLb/HLFGxHn2aSAgsz7V6,7.99,7.99,136
0869AC1AXPvAibaEXe9puzAyruoCKS8Bvkqa7arm,8.12,8.12,132
75211209XPvAibaEXe9tVd6vhP62hx/1o5G0gk7R,8.61,8.61,134
2F0C4733XPvAibaEXe+MmAntcCanjBGPcdCVOjwi,8.74,8.74,140
A4B49526XPvAibaEXe9gPSUylTm3ETaYqjE6gC2l,7.72,7.72,136
1216FD23XPvAibaEXe9i7Lm5hcsAn0w5am+Ugp5M,7.24,7.35,142
8FAC9716XPvAibaEXe/a4DMmDlc8UGDCsdNvkCLG,7.53,7.53,133
