mssv,sotc_hk1,sotc_hk2,sotc_hk3,sotc_hk4,sotc_hk5,sotc_hk6,sotc_hk7,sotc_hk8,sotc_hk9,sotc_hk10,sotc_hk11,sotc_hk12,sotc_hk13,sotc_hk14,sotc_hk15,sotc_hk16,sotc_hk17,sotc_hk18,sotc_hk19,sotc_hk20,sotc_hk21,sotc_hk22
52C1E590XPvAibaEXe/hGQxqUqhtAYhPLJFPzldw,16,16.0,12.0,,,,,,,,,,,,,,,,,,,
52CB354DXPvAibaEXe/Hd2nFsMs4VGDy64BCTRs/,15,20.0,24.0,17.0,23.0,10.0,11.0,,,,,,,,,,,,,,,
52D6E13AXPvAibaEXe+kwIr/VXjl04mDFK2cgeQl,22,17.0,,,,,,,,,,,,,,,,,,,,
52DB8271XPvAibaEXe8n6FFpptVzUuzbSv2XdjNy,19,19.0,23.0,18.0,18.0,23.0,18.0,10.0,,,,,,,,,,,,,,
52DBDFBEXPvAibaEXe+SbxsvF9MWxMB7PcaIIDuo,18,21.0,24.0,19.0,19.0,12.0,15.0,,,,,,,,,,,,,,,
52E66659XPvAibaEXe/7sxkigC7f5zukR2WlNRO3,18,21.0,21.0,21.0,21.0,17.0,10.0,22.0,22.0,4.0,24.0,7.0,8.0,4.0,4.0,,,,,,,
52E76E98XPvAibaEXe8n6FFpptVzUpY7oTtzD05E,17,21.0,8.0,14.0,16.0,,,,,,,,,,,,,,,,,
52EB6D4CXPvAibaEXe9U/K5zYZONTyWmoV+cJgnr,17,19.0,22.0,19.0,19.0,26.0,18.0,14.0,16.0,,,,,,,,,,,,,
52EFFB93XPvAibaEXe8eipYZNlRNfvDDQeoEpri5,17,23.0,21.0,17.0,18.0,,,,,,,,,,,,,,,,,
52F1243BXPvAibaEXe8Y+/3uR2PkTDwL/5Oa1YtB,22,18.0,21.0,19.0,21.0,19.0,20.0,18.0,7.0,20.0,3.0,,,,,,,,,,,
52F5CF7DXPvAibaEXe/4brcB/U30UpbnPHfynU3n,20,18.0,18.0,15.0,21.0,,,,,,,,,,,,,,,,,
52F800E1XPvAibaEXe+k18jMdjuJ+xZpPQJ5Hrjy,16,,,,,,,,,,,,,,,,,,,,,
52FEBBB2XPvAibaEXe/36jk4bBLoS+eywKxOKnQC,22,,,,,,,,,,,,,,,,,,,,,
53056189XPvAibaEXe/GYDluKvKBtUxBCSZWf8lj,20,20.0,18.0,15.0,16.0,18.0,22.0,19.0,4.0,0.0,,,,,,,,,,,,
530DAA7AXPvAibaEXe9W7fV/x7qyQHK+t0YqgRym,19,21.0,4.0,22.0,20.0,4.0,17.0,19.0,20.0,13.0,10.0,,,,,,,,,,,
530FAC62XPvAibaEXe/48twDzwE623Qx7OB2AAW7,18,,,,,,,,,,,,,,,,,,,,,
530FE4E9XPvAibaEXe+4hxKfaQWuhFsElpA2NjHn,22,19.0,20.0,18.0,6.0,17.0,24.0,21.0,19.0,8.0,20.0,7.0,3.0,,,,,,,,,
53151F94XPvAibaEXe/LIv6QeHs+ZVKTVKoObtYN,11,12.0,8.0,10.0,13.0,14.0,17.0,3.0,13.0,16.0,17.0,,,,,,,,,,,
53181549XPvAibaEXe8JhJ4J3nSSl4rhWK7agy5e,17,19.0,22.0,24.0,21.0,14.0,12.0,,,,,,,,,,,,,,,
5319E926XPvAibaEXe/aPLdUCtOgCsYuTRe19Bvm,17,20.0,3.0,25.0,22.0,26.0,20.0,4.0,19.0,20.0,,,,,,,,,,,,
53219080XPvAibaEXe9AD8+BVyvrVUjNUEMEs6rQ,17,,,,,,,,,,,,,,,,,,,,,
53301E51XPvAibaEXe+bKzu5Vl6iJTwjSt/WsO0x,14,21.0,21.0,,,,,,,,,,,,,,,,,,,
5333A1ABXPvAibaEXe9dgf/EzU6ZBRbjI62p5+N9,21,23.0,19.0,16.0,16.0,19.0,15.0,,,,,,,,,,,,,,,
533506E9XPvAibaEXe/RTfMBxsNERcF54W2wAZyB,16,19.0,19.0,15.0,18.0,15.0,12.0,0.0,,,,,,,,,,,,,,
53362638XPvAibaEXe9Wonradwt/odP5xZ7ibRoj,13,15.0,19.0,24.0,25.0,20.0,12.0,0.0,,,,,,,,,,,,,,
5336B31BXPvAibaEXe+xnA4ejL8zvYHMJ5G/XyqG,17,22.0,16.0,,,,,,,,,,,,,,,,,,,
53382090XPvAibaEXe+FYkCG3tK4ggAO8B4maiVa,22,,,,,,,,,,,,,,,,,,,,,
534B0C0FXPvAibaEXe+patkqhDdd1cjRMSI5kgcg,16,21.0,15.0,20.0,14.0,,,,,,,,,,,,,,,,,
534EF7B9XPvAibaEXe8zAo0wu8vadhc5rnftayS9,13,24.0,15.0,22.0,19.0,24.0,13.0,,,,,,,,,,,,,,,
534F880CXPvAibaEXe/caEx4rNa5qYi8oannUiVw,22,22.0,26.0,17.0,16.0,13.0,19.0,19.0,10.0,,,,,,,,,,,,,
5353DD8BXPvAibaEXe9am9qwJiGf+Gt6QXVkSPF2,18,,,,,,,,,,,,,,,,,,,,,
535E7261XPvAibaEXe9Zf5/2ioDjyfAHKivFwb69,17,,,,,,,,,,,,,,,,,,,,,
535EA14AXPvAibaEXe9VICkMSMM7nz6G5cs0Joco,22,19.0,7.0,25.0,20.0,8.0,15.0,18.0,17.0,16.0,16.0,10.0,17.0,,,,,,,,,
535EE7D3XPvAibaEXe9/su+qLcYDMqV4B2iJU0yP,22,18.0,21.0,26.0,18.0,18.0,17.0,13.0,,,,,,,,,,,,,,
5361AB80XPvAibaEXe8fpIOrswHcsaTTTofmlUNL,16,,,,,,,,,,,,,,,,,,,,,
53669AABXPvAibaEXe8xE9+hjZHGkmU6O3xIAlhc,20,19.0,20.0,,,,,,,,,,,,,,,,,,,
536846F2XPvAibaEXe+whDYzxQ4teYkaVzvinOBF,22,18.0,22.0,,,,,,,,,,,,,,,,,,,
53693DBAXPvAibaEXe+M/BSgLkQKV6YJIMmVLG/Y,20,22.0,21.0,18.0,14.0,17.0,20.0,2.0,0.0,,,,,,,,,,,,,
536C59C2XPvAibaEXe/+PcSgI7Ykee6trduSCKeW,22,16.0,24.0,20.0,4.0,15.0,20.0,17.0,13.0,14.0,12.0,,,,,,,,,,,
53745E3CXPvAibaEXe8OmD6FmAFSI97V6mYzPi9F,18,,,,,,,,,,,,,,,,,,,,,
5375345DXPvAibaEXe+rkciJLhYkX1I1oyrrNVxK,14,,,,,,,,,,,,,,,,,,,,,
5375853DXPvAibaEXe8CJ7wHm5Ak3oQBO9JpRqdS,16,,,,,,,,,,,,,,,,,,,,,
537C76CEXPvAibaEXe/MiYlGBnfqw9weic4px3Vb,14,23.0,17.0,20.0,21.0,,,,,,,,,,,,,,,,,
538482D3XPvAibaEXe9UtuX6jG5J8cO8wr7A6Pzr,17,19.0,20.0,,,,,,,,,,,,,,,,,,,
5385007EXPvAibaEXe8TpN+5xw8kQjJbPH2tQ0m/,18,16.0,,,,,,,,,,,,,,,,,,,,
5387F52FXPvAibaEXe99wore2o79WspqcmmwrsFn,20,12.0,18.0,22.0,16.0,,,,,,,,,,,,,,,,,
53886CCBXPvAibaEXe/X5uT1FaYTT+gXayApk8b7,20,16.0,17.0,20.0,22.0,10.0,22.0,16.0,13.0,13.0,2.0,,,,,,,,,,,
538A07FAXPvAibaEXe/VynkpCVOuiXwDx6VrxIIW,18,19.0,20.0,18.0,19.0,,,,,,,,,,,,,,,,,
538D82A9XPvAibaEXe/wvgrdNVCyf4Zu3yuLbGom,17,20.0,26.0,21.0,4.0,19.0,22.0,3.0,10.0,10.0,,,,,,,,,,,,
538FDEFEXPvAibaEXe9P07hcrvmhCe3unM2XvNXE,22,19.0,25.0,18.0,16.0,16.0,15.0,10.0,,,,,,,,,,,,,,
53903E60XPvAibaEXe+Tyn6K74w+TmPj/ntJJCnE,18,17.0,21.0,20.0,4.0,18.0,,,,,,,,,,,,,,,,
5393D300XPvAibaEXe9xkK/YA3rY8K1sgmVMMbVh,19,19.0,22.0,19.0,18.0,23.0,20.0,17.0,9.0,10.0,,,,,,,,,,,,
5396C3C0XPvAibaEXe9T8X64vL5Kd7Ra2fetm0mB,19,17.0,17.0,22.0,22.0,16.0,15.0,,,,,,,,,,,,,,,
53B9FC7DXPvAibaEXe+NTT/XirluidytMSPrTkWa,20,24.0,18.0,,,,,,,,,,,,,,,,,,,
53BABCB4XPvAibaEXe+5f3nhbX2eh3E+k8+0vrzk,22,19.0,24.0,16.0,16.0,19.0,3.0,17.0,14.0,10.0,,,,,,,,,,,,
53BB8D1AXPvAibaEXe9Fy2hCq9OiA55gkkbklho/,20,22.0,20.0,17.0,19.0,14.0,19.0,6.0,,,,,,,,,,,,,,
53BBF168XPvAibaEXe/IDqkIV3HZqtDDR4rM7WhH,15,21.0,19.0,17.0,15.0,,,,,,,,,,,,,,,,,
53BD35B7XPvAibaEXe8wMpKQnQ7j6BmKJsrjnKQb,18,15.0,10.0,29.0,26.0,16.0,27.0,8.0,21.0,17.0,4.0,24.0,4.0,4.0,15.0,,,,,,,
53C28097XPvAibaEXe/Nok7qdNjJRpvSBASXhbvj,17,20.0,7.0,25.0,15.0,16.0,24.0,3.0,23.0,21.0,,,,,,,,,,,,
53C4B7BFXPvAibaEXe9qGGZHCdW9PfAO25PLKKTS,19,23.0,22.0,17.0,15.0,,,,,,,,,,,,,,,,,
53C76C78XPvAibaEXe++P1Ki321T8dLKmOd542vM,13,20.0,19.0,8.0,24.0,21.0,11.0,,,,,,,,,,,,,,,
53C995CEXPvAibaEXe+AdDQ9dDabO+SZT/LN+2tF,15,16.0,17.0,20.0,19.0,6.0,24.0,18.0,4.0,0.0,,,,,,,,,,,,
53CD7140XPvAibaEXe9dgf/EzU6ZBYS3CZf6FUxx,17,19.0,21.0,16.0,16.0,17.0,19.0,,,,,,,,,,,,,,,
53CDD1FFXPvAibaEXe/U5lSbganJ8/muZcRpBU9A,17,19.0,27.0,22.0,20.0,16.0,20.0,10.0,,,,,,,,,,,,,,
53D6B6A5XPvAibaEXe9P07hcrvmhCdWEvna10bwL,22,19.0,10.0,26.0,12.0,4.0,28.0,23.0,11.0,25.0,28.0,11.0,19.0,19.0,7.0,12.0,18.0,15.0,,,,
53E95764XPvAibaEXe8NrxrmA741r2VOKP0Nz9D+,17,21.0,18.0,22.0,22.0,23.0,20.0,14.0,,,,,,,,,,,,,,
53ED17C2XPvAibaEXe9n6M+kQhqu8muR98dJl0ve,15,17.0,15.0,,,,,,,,,,,,,,,,,,,
53ED37FFXPvAibaEXe+k18jMdjuJ+7l1P9CbNkGj,18,,,,,,,,,,,,,,,,,,,,,
53F24D56XPvAibaEXe9V1gtTDRnQF0W4EkFRmiTX,13,19.0,24.0,24.0,19.0,20.0,4.0,17.0,14.0,10.0,,,,,,,,,,,,
5406B771XPvAibaEXe+rkciJLhYkX02/A6VtTHGY,18,,,,,,,,,,,,,,,,,,,,,
5406E1A0XPvAibaEXe8jOKYsh0sA3myiOZ7j3xfW,16,16.0,18.0,22.0,20.0,19.0,13.0,20.0,4.0,,,,,,,,,,,,,
54105D39XPvAibaEXe+UswxXBNJT7D1UMofMgVhq,18,,,,,,,,,,,,,,,,,,,,,
54166400XPvAibaEXe+5f3nhbX2ehx/EY+0e6tvl,18,19.0,21.0,20.0,4.0,20.0,16.0,4.0,20.0,22.0,7.0,15.0,22.0,3.0,16.0,9.0,3.0,13.0,7.0,7.0,9.0,
5418B267XPvAibaEXe8eipYZNlRNfh5OPO8prZhO,20,15.0,23.0,21.0,,,,,,,,,,,,,,,,,,
541A70E9XPvAibaEXe8JyzRlwVelIxqukNiAQ0jI,22,19.0,18.0,,,,,,,,,,,,,,,,,,,
541DA9D4XPvAibaEXe+RQyZpP6sq6sOhmiJhnuU6,20,21.0,21.0,17.0,17.0,16.0,16.0,5.0,,,,,,,,,,,,,,
541EE122XPvAibaEXe9QOCtJVbMuSbLuhruA2e+D,18,12.0,,,,,,,,,,,,,,,,,,,,
541FF0B5XPvAibaEXe+OhmjSj4XEzU5v9VqAadGo,17,21.0,21.0,18.0,23.0,16.0,16.0,10.0,,,,,,,,,,,,,,
54265AC5XPvAibaEXe86sOYAMzRf/oTB89JnXUTW,22,,,,,,,,,,,,,,,,,,,,,
542FD613XPvAibaEXe+cv7qSCYkQet+8WVAW0Q4F,17,21.0,24.0,21.0,16.0,20.0,17.0,14.0,,,,,,,,,,,,,,
543426BEXPvAibaEXe+VxRd54HULE8miOMkDoWRM,16,23.0,17.0,17.0,18.0,17.0,13.0,6.0,4.0,,,,,,,,,,,,,
543EE4E1XPvAibaEXe8AZtBFxjm6stbn2qK3pWEb,17,,,,,,,,,,,,,,,,,,,,,
54432156XPvAibaEXe9NZBs7fjgAwTuv9KH5mIu7,20,16.0,10.0,23.0,21.0,19.0,13.0,11.0,13.0,2.0,,,,,,,,,,,,
544B3EA8XPvAibaEXe92DIzGarcXxAf7epBE77KX,14,19.0,19.0,20.0,19.0,,,,,,,,,,,,,,,,,
544BA895XPvAibaEXe8HOQ2h2GyrOZud3T+5XsnY,14,,,,,,,,,,,,,,,,,,,,,
544E0032XPvAibaEXe+81QPULVxrIJl5Kf5WNDG5,22,,,,,,,,,,,,,,,,,,,,,
54546F3DXPvAibaEXe97/vKPISG06bsVQ1K0Lzrs,19,27.0,22.0,,,,,,,,,,,,,,,,,,,
5458322FXPvAibaEXe9e953jV3NnLmnTzZBJd/n/,11,12.0,8.0,17.0,17.0,20.0,16.0,16.0,16.0,13.0,,,,,,,,,,,,
54592740XPvAibaEXe+rNPAzQP/2T4Z2h04hVMDS,15,19.0,20.0,19.0,19.0,,,,,,,,,,,,,,,,,
546766A5XPvAibaEXe+TeG6SYeFDjEei2F6tAugM,16,24.0,17.0,15.0,15.0,14.0,20.0,,,,,,,,,,,,,,,
5469973DXPvAibaEXe+6RO6XPmI8NF00yTo5xlzh,12,23.0,21.0,16.0,8.0,,,,,,,,,,,,,,,,,
546D6A53XPvAibaEXe8oOckqmsrcbRpKOCFuFfpS,13,18.0,7.0,23.0,8.0,,,,,,,,,,,,,,,,,
546DE3BCXPvAibaEXe/sKOWIYAkjtv9wK90lWKtB,17,18.0,16.0,20.0,21.0,21.0,19.0,18.0,0.0,,,,,,,,,,,,,
5472B185XPvAibaEXe87cFnqlCoR2XHyVu0f4Pql,16,19.0,13.0,23.0,21.0,15.0,10.0,10.0,,,,,,,,,,,,,,
5478BE78XPvAibaEXe9afbyrOJH5CIk691Y5ZINI,13,20.0,4.0,21.0,22.0,7.0,22.0,21.0,4.0,19.0,18.0,4.0,10.0,,,,,,,,,
547D7412XPvAibaEXe/A0C8NKWg+cCwX1LYBm9Ez,18,19.0,24.0,17.0,18.0,22.0,20.0,10.0,10.0,,,,,,,,,,,,,
548333C6XPvAibaEXe+EAlU+wSWpDUDAmH7aFO2R,16,17.0,23.0,21.0,19.0,15.0,12.0,,,,,,,,,,,,,,,
5483E379XPvAibaEXe9HKUC7sboLjkiY2dt+wasF,22,22.0,21.0,18.0,14.0,15.0,15.0,11.0,10.0,,,,,,,,,,,,,
548C5DADXPvAibaEXe+QJ0MB5TsYNTbaUaEddHcV,20,20.0,23.0,20.0,4.0,14.0,18.0,8.0,13.0,,,,,,,,,,,,,
54915522XPvAibaEXe+bKRR4AXbeMpTXD2ekfvyp,22,,,,,,,,,,,,,,,,,,,,,
54962B1AXPvAibaEXe8REVTdmhazkfmprj+KaHz3,17,15.0,23.0,22.0,22.0,20.0,8.0,,,,,,,,,,,,,,,
5496C0BBXPvAibaEXe8Ve7JqRML75VSrneiFXwvT,13,15.0,21.0,21.0,4.0,19.0,19.0,4.0,16.0,13.0,21.0,,,,,,,,,,,
5498FA3AXPvAibaEXe87anst8v7Zsdr5IAy9syeb,22,,,,,,,,,,,,,,,,,,,,,
549BF1AAXPvAibaEXe8IMfyUCPq0pJrp4feURkya,18,21.0,23.0,,,,,,,,,,,,,,,,,,,
54A5A51BXPvAibaEXe9uJZGMSuxkgGFutf1Y1Ru/,12,20.0,15.0,21.0,17.0,,,,,,,,,,,,,,,,,
54A70FAAXPvAibaEXe/GP74oAJxkeNZTWPyYVRj2,17,25.0,,,,,,,,,,,,,,,,,,,,
54A97A5CXPvAibaEXe9EUO2qxCH07QBDoyxB+oH4,17,21.0,24.0,19.0,20.0,18.0,22.0,10.0,6.0,,,,,,,,,,,,,
54B86D8AXPvAibaEXe+kxAnFBxXHpYzp+PjPhHXZ,14,22.0,20.0,12.0,14.0,,,,,,,,,,,,,,,,,
54BB60E6XPvAibaEXe8CJ7wHm5Ak3iABrV18ZwRc,18,,,,,,,,,,,,,,,,,,,,,
54BE00A9XPvAibaEXe/zHDidEgqCTolKoAHgTiP9,18,18.0,10.0,15.0,,,,,,,,,,,,,,,,,,
54C27BCEXPvAibaEXe+yN8eOgWCz09+Jgw87svcW,14,,,,,,,,,,,,,,,,,,,,,
54C3E288XPvAibaEXe+bjXHpHbMqADbNiPwLUYcW,18,,,,,,,,,,,,,,,,,,,,,
54D6551AXPvAibaEXe/Sg8NB1T9vI+OTFstGQo76,18,,,,,,,,,,,,,,,,,,,,,
54D69FFDXPvAibaEXe/yXiKgsgy0siFts6rWcAMw,22,19.0,,,,,,,,,,,,,,,,,,,,
54DDB6B0XPvAibaEXe/lq24VwKc+LP7fw2oHUTdQ,7,10.0,19.0,21.0,6.0,20.0,16.0,9.0,,,,,,,,,,,,,,
54EF4CB2XPvAibaEXe+AmvzHTDc+b/TIzAVgUGXN,12,12.0,,,,,,,,,,,,,,,,,,,,
54F34466XPvAibaEXe91TSm2Uq+S2+ypPVWYT60U,18,,,,,,,,,,,,,,,,,,,,,
54F70EB4XPvAibaEXe/pj/zSBjVU9H0I9Q8LuhmG,17,19.0,21.0,18.0,19.0,16.0,12.0,,,,,,,,,,,,,,,
54FA6318XPvAibaEXe+sa6H++BHvytQq87Lkc1vd,17,23.0,17.0,18.0,20.0,19.0,18.0,13.0,,,,,,,,,,,,,,
54FC74FEXPvAibaEXe92T150Nt0xZoZqIavSvE6F,16,,,,,,,,,,,,,,,,,,,,,
5504D8B2XPvAibaEXe/A0C8NKWg+cGvKTGLsZ7Kv,20,19.0,20.0,24.0,14.0,18.0,12.0,12.0,,,,,,,,,,,,,,
550DA54EXPvAibaEXe9mNMzpS14VgQuZB5vjk0sM,19,21.0,6.0,16.0,23.0,21.0,22.0,,,,,,,,,,,,,,,
550FF48EXPvAibaEXe8Ve9qXGkppSHjhaNu3KMws,19,21.0,18.0,19.0,22.0,16.0,17.0,7.0,,,,,,,,,,,,,,
551127EDXPvAibaEXe9AD8+BVyvrVWwlE4hwCfgh,20,,,,,,,,,,,,,,,,,,,,,
551159C5XPvAibaEXe9N6c4SmCoWICBTYIbXkzb6,14,,,,,,,,,,,,,,,,,,,,,
55131880XPvAibaEXe+FYkCG3tK4gl4galjnfaN8,18,,,,,,,,,,,,,,,,,,,,,
5514F962XPvAibaEXe887JOjhk2RV+5OSunqs8PS,17,22.0,23.0,22.0,14.0,19.0,20.0,14.0,4.0,10.0,,,,,,,,,,,,
55150358XPvAibaEXe+el9HxC/V5NqdKswGEPuM+,21,23.0,16.0,,,,,,,,,,,,,,,,,,,
55164ECCXPvAibaEXe8NrxrmA741rzp6pr4JjBBO,19,19.0,21.0,17.0,17.0,16.0,16.0,13.0,10.0,,,,,,,,,,,,,
55192829XPvAibaEXe+rUETgz3ZSLOjgbpa47JNU,20,,,,,,,,,,,,,,,,,,,,,
551B44F8XPvAibaEXe9HXpb1PepyFci/bGEU/Zva,17,22.0,3.0,17.0,,,,,,,,,,,,,,,,,,
551BB76DXPvAibaEXe8Dld2HmzmH+vlX51OM4Epg,19,20.0,18.0,17.0,15.0,18.0,0.0,17.0,16.0,13.0,11.0,4.0,,,,,,,,,,
55245434XPvAibaEXe8YD29zP3MXDykXhpONKEMH,16,21.0,15.0,7.0,19.0,13.0,12.0,0.0,,,,,,,,,,,,,,
55270DBAXPvAibaEXe+OQt2grxVQN9dcdBPt+ctH,16,22.0,23.0,,,,,,,,,,,,,,,,,,,
552C0A01XPvAibaEXe+AkyY0LvshNp5eYt+c+DPp,17,17.0,24.0,17.0,18.0,17.0,8.0,4.0,10.0,,,,,,,,,,,,,
55321728XPvAibaEXe87anst8v7ZsRdTa4bD3n+g,18,,,,,,,,,,,,,,,,,,,,,
5533DD19XPvAibaEXe86sbeN0/YCTbUKokfc1ORb,17,21.0,23.0,19.0,19.0,21.0,16.0,12.0,,,,,,,,,,,,,,
55375211XPvAibaEXe89uaQhuJG/N8IedUiOt/Zc,22,,,,,,,,,,,,,,,,,,,,,
553B0537XPvAibaEXe8JNpgMW2c4UDCJQq64xisJ,17,17.0,22.0,20.0,18.0,20.0,20.0,10.0,,,,,,,,,,,,,,
553D3D4BXPvAibaEXe8xN1Ehxu1cb9qhnIpu7ZtA,20,19.0,20.0,18.0,19.0,14.0,12.0,,,,,,,,,,,,,,,
553F83D0XPvAibaEXe+lo6eJkHWaQXmbzaKicEyV,22,18.0,19.0,17.0,16.0,18.0,14.0,11.0,13.0,,,,,,,,,,,,,
5541440FXPvAibaEXe/xGSYcIp0f7MVBRZ2Pm50l,14,19.0,21.0,18.0,15.0,,,,,,,,,,,,,,,,,
55484735XPvAibaEXe9gPSUylTm3EbcTwdENbajt,19,17.0,21.0,21.0,18.0,22.0,22.0,8.0,,,,,,,,,,,,,,
554BEAD4XPvAibaEXe9hSzSdeSAT0nKSX8+l/eSA,13,20.0,28.0,18.0,18.0,23.0,16.0,14.0,10.0,,,,,,,,,,,,,
554F7CD7XPvAibaEXe9Y8E/lSCdK59XMdDhTpVwq,17,22.0,15.0,0.0,,,,,,,,,,,,,,,,,,
5556B223XPvAibaEXe+sV6KMm2RqHnLQl0o2p6LU,19,19.0,17.0,16.0,23.0,19.0,23.0,6.0,0.0,,,,,,,,,,,,,
555718BAXPvAibaEXe+kaKwPBw23VvNuBIzlekwW,17,19.0,23.0,19.0,24.0,22.0,19.0,8.0,16.0,3.0,,,,,,,,,,,,
555BD13AXPvAibaEXe8VWkDlE2pSBOjOyRGDoHKh,18,22.0,14.0,,,,,,,,,,,,,,,,,,,
555C9700XPvAibaEXe/HUuIVo8uCRy5SjHacmu89,19,12.0,16.0,21.0,18.0,,,,,,,,,,,,,,,,,
556525E0XPvAibaEXe8Is0U1Tzjs+1Zl9QLyG3Vp,14,22.0,,,,,,,,,,,,,,,,,,,,
5571C0D0XPvAibaEXe/jJhiAqnJBigM3I5XQV0su,22,22.0,20.0,,,,,,,,,,,,,,,,,,,
557392BEXPvAibaEXe8x8S8Fn/vYpuVmdjfrIiS2,19,3.0,,,,,,,,,,,,,,,,,,,,
55768D67XPvAibaEXe8d4Zyk6xKs0+4cPjNp6LHS,16,20.0,19.0,22.0,18.0,22.0,16.0,16.0,2.0,,,,,,,,,,,,,
5579D3EBXPvAibaEXe/MMx1dMBtPnSMMbhp+C7hs,10,,,,,,,,,,,,,,,,,,,,,
55834685XPvAibaEXe8WrK/T746TFz4wT06KmYc5,17,25.0,23.0,14.0,17.0,,,,,,,,,,,,,,,,,
5589F298XPvAibaEXe/pnXUIwMJHJkzrdhnrXKtN,20,16.0,16.0,,,,,,,,,,,,,,,,,,,
558A781CXPvAibaEXe+swj/cdUVTZsLiXLTzMhYW,18,,,,,,,,,,,,,,,,,,,,,
558BD7F4XPvAibaEXe+b/3AZFelvLwNaUiyCoZPy,16,23.0,0.0,23.0,16.0,15.0,14.0,13.0,,,,,,,,,,,,,,
55913018XPvAibaEXe+szMHbfc71UIsscZrZJzAK,8,9.0,8.0,14.0,17.0,20.0,16.0,16.0,16.0,,,,,,,,,,,,,
55927703XPvAibaEXe+y9Z7iOH0a5PaLIuFFsred,18,19.0,20.0,22.0,19.0,,,,,,,,,,,,,,,,,
5598492FXPvAibaEXe/k16nYNlOi0Vs9EA2wtwYV,15,18.0,20.0,19.0,16.0,24.0,6.0,10.0,,,,,,,,,,,,,,
559BDB5CXPvAibaEXe+NdYdWeGKQ369yUruQW+dn,18,19.0,23.0,22.0,15.0,0.0,,,,,,,,,,,,,,,,
55A569EFXPvAibaEXe+aquNtcMIbv6am/odZ2HT2,17,18.0,26.0,22.0,14.0,16.0,6.0,,,,,,,,,,,,,,,
55B2C91AXPvAibaEXe/Bn5cQSu92WVyl6Ie3DRnz,22,22.0,24.0,18.0,20.0,16.0,15.0,,,,,,,,,,,,,,,
55B3040AXPvAibaEXe8nuCevWXzMu3DVkkGdF3mq,13,19.0,19.0,23.0,11.0,10.0,7.0,,,,,,,,,,,,,,,
55B81371XPvAibaEXe92HFjDDFybWx80ZTIq5R+J,20,19.0,17.0,18.0,14.0,14.0,15.0,12.0,,,,,,,,,,,,,,
55BB54C4XPvAibaEXe+P3P+fEFRIWNdqLeyJcbPn,20,22.0,22.0,17.0,15.0,14.0,12.0,,,,,,,,,,,,,,,
55C4950AXPvAibaEXe9CJmVsz9P34pEFprlIxi9u,17,19.0,21.0,22.0,21.0,16.0,16.0,12.0,,,,,,,,,,,,,,
55CBA940XPvAibaEXe9Hf/fJ8gF3WiYVACUisffu,13,17.0,20.0,22.0,25.0,16.0,12.0,,,,,,,,,,,,,,,
55CBE4B2XPvAibaEXe+NJiMjcH3vhPWspGkNjgbI,17,22.0,21.0,16.0,6.0,23.0,23.0,4.0,22.0,16.0,,,,,,,,,,,,
55D02CB4XPvAibaEXe9M021iVaAwIAQL8BalJRN4,22,22.0,21.0,18.0,14.0,15.0,15.0,11.0,10.0,,,,,,,,,,,,,
55D58DDFXPvAibaEXe/Sg8NB1T9vI7jVbO6085Pm,16,,,,,,,,,,,,,,,,,,,,,
55E029BAXPvAibaEXe8SXrohzbXmS8MZUqnd4qx0,13,20.0,24.0,,,,,,,,,,,,,,,,,,,
55E11386XPvAibaEXe8EW55eQakbv3Zu8IP/zPb5,7,14.0,8.0,14.0,,,,,,,,,,,,,,,,,,
55E6079CXPvAibaEXe8N+uD/a8GbgkykgNrv1Wvh,15,15.0,21.0,10.0,15.0,8.0,15.0,20.0,8.0,,,,,,,,,,,,,
55E84096XPvAibaEXe86sOYAMzRf/vSCJbwyxVbW,18,,,,,,,,,,,,,,,,,,,,,
55EAE506XPvAibaEXe8AohUVcWybLfdjUFMKMeOK,21,18.0,14.0,,,,,,,,,,,,,,,,,,,
55F9C6A9XPvAibaEXe8OnqoI053Grw5TsPBVTGtQ,20,18.0,3.0,15.0,16.0,15.0,16.0,19.0,11.0,,,,,,,,,,,,,
561A9A52XPvAibaEXe9npw4GElGYwXGtOavfNNk2,13,21.0,4.0,24.0,22.0,12.0,23.0,20.0,4.0,17.0,20.0,8.0,7.0,,,,,,,,,
561ACD15XPvAibaEXe8n6FFpptVzUrKu5yTrz+dl,17,17.0,22.0,17.0,,,,,,,,,,,,,,,,,,
561E2949XPvAibaEXe/P3U+Uvm5VgeBBSmSxxDVn,18,,,,,,,,,,,,,,,,,,,,,
5620CB58XPvAibaEXe8GdASsTPmlXj1JoELIu63e,16,20.0,18.0,23.0,8.0,10.0,8.0,7.0,4.0,7.0,4.0,3.0,,,,,,,,,,
56226C11XPvAibaEXe91WmQmxUATiXhi11v+GQ4l,17,23.0,21.0,12.0,18.0,,,,,,,,,,,,,,,,,
56275D86XPvAibaEXe9FnVpSOr4iO6/vpsbAfffi,7,3.0,,,,,,,,,,,,,,,,,,,,
5627743BXPvAibaEXe8Ve9qXGkppSH8e5lf6LRDk,16,17.0,20.0,23.0,23.0,17.0,12.0,9.0,,,,,,,,,,,,,,
56288759XPvAibaEXe9NZBs7fjgAwZaRj553AanE,16,15.0,17.0,20.0,19.0,6.0,4.0,20.0,9.0,2.0,,,,,,,,,,,,
562EAF54XPvAibaEXe+tg0ae8qw/gpvIjQ2ax2XP,17,19.0,21.0,22.0,19.0,19.0,7.0,15.0,12.0,4.0,10.0,10.0,,,,,,,,,,
